"strata","time","n.risk","pct.risk","n.event","cum.n.event","n.censor","cum.n.censor","strata_size","F.canifelinum"
"F.canifelinum=0",0,135,100,0,0,0,0,135,"0"
"F.canifelinum=0",5,19,14,25,25,91,91,135,"0"
"F.canifelinum=0",10,4,3,4,29,11,102,135,"0"
"F.canifelinum=0",15,1,1,1,30,2,104,135,"0"
"F.canifelinum=0",20,1,1,0,30,0,104,135,"0"
"F.canifelinum=0",25,0,0,0,30,1,105,135,"0"
"F.canifelinum=1",0,6,100,0,0,0,0,6,"1"
"F.canifelinum=1",5,0,0,3,3,3,3,6,"1"
"F.canifelinum=1",10,0,0,0,3,0,3,6,"1"
"F.canifelinum=1",15,0,0,0,3,0,3,6,"1"
"F.canifelinum=1",20,0,0,0,3,0,3,6,"1"
"F.canifelinum=1",25,0,0,0,3,0,3,6,"1"
