"","COAD","READ","p","test"
"n","  478","  166","",""
"Sex = Male (%)","  252 (52.9) ","   90 (54.5) "," 0.791",""
"Age (mean (SD))","67.58 (13.01)","65.06 (11.67)"," 0.028",""
"BMI (mean (SD))","29.46 (16.55)","27.12 (5.81)"," 0.240",""
"Stage (%)","  ","   "," 0.199",""
"   I","   80 (16.7) ","   30 (18.1) ","",""
"   II","  186 (38.9) ","   51 (30.7) ","",""
"   III","  132 (27.6) ","   51 (30.7) ","",""
"   IV","   66 (13.8) ","   24 (14.5) ","",""
"   Unknown","   14 ( 2.9) ","   10 ( 6.0) ","",""
"Race (%)","  ","   "," 0.002",""
"   Black","   62 (13.0) ","    6 ( 3.6) ","",""
"   Other","  185 (38.7) ","   80 (48.2) ","",""
"   White","  231 (48.3) ","   80 (48.2) ","",""
"Buffa Hypoxia Score (mean (SD))","15.46 (13.84)","12.15 (13.67)"," 0.008",""
"Hypoxia Status (%)","  ","   ","   NaN",""
"   High","    0 ( NaN) ","   32 (37.2) ","",""
"   Low","    0 ( NaN) ","   30 (34.9) ","",""
"   Med","    0 ( NaN) ","   24 (27.9) ","",""
"Vital Status = Dead (%)","  103 (21.6) ","   27 (16.4) "," 0.180",""
